class	meanAUC	meanSPEC	meanSENS
Bacteria	0.771938775510204	0.685714285714286	0.7
Virus	0.766666666666667	0.48	0.816666666666667
Combined	0.804166666666667	0.58	0.85
Metagenomic	0.467361111111111	0.525	0.425
