Contig_ID	MG100014_R2	MG100015_R2	MG100016_R2	MG100017_R2		MG100019_R2	MG100020_R2	MG100021_R2	MG100022_R2	MG100023_R2	MG100024_R2	MG100025_R2	MG100026_R2	MG100027_R2		MG100029_R2	MG100030_R2	MG100031_R2	MG100032_R2	MG100033_R2	MG100034_R2		MG100036_R2	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	55.14	0.00106865	0.00106865		0.00213729	
Mycobacterium_phage	0	0	0	0		0	0	0	0	0.00235831	0	0	1.85127	0		0	0	0	0	0	0		0	
Pseudomonas_phage	0.041935	0.533173	0.239629	0.50322		0.0449303	0.811742	0.233638	0.00599071	0.227647	0.332485	0.116819	0.440317	0.0808746		0.12281	0.0688932	0.0718886	0.041935	0.0808746	0.688932		0.569118	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.09195		0	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.25295		0	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0.967998		0	
Xylella_phage	0	0.678723	0.14694	0		0	0	0	0	0.0139943	0	0	0	0		0	0	0	0	0	0		0	
Enterococcus_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	1.35299	0		0	
Burkholderia_phage	0.00763342	0.0458005	0.0381671	0.351137		0.00763342	0.122135	0.0152668	0	0.0152668	0.0610674	0.0610674	0.480906	0.0152668		0.0458005	0.00763342	0.00763342	0	0	0.145035		0.0839677	
Nocardia_phage	0	0	0	0		0	0	0	0	0	0	0	0	0.628653		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.710622	0	0		0	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.02286		0	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.0634		0	
Synechococcus_phage	0	0	0	0		0	0	0	0	0	0	0	0	1.16937		0	0	0	0	0	0		0	
Rhodococcus_phage	0	0	0.0267678	0		0	0	0	0.0133839	4.85835	0	0	0	0		0.0401517	0	0	0	1.04394	0.321213		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0.945349	0	0	0	0.0457427	0		0	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.04206		0	
Shigella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0.945581		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.659014	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.494386	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.753318	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.670911	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.688363	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	1.67553	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.82042	0	0		0	0	0	0	0	0.041021		0	
Burkholderia_phage	0	0	0	0		0	0.0821661	0	0.0410831	0.0410831	0.0821661	0	0.328664	0		0.0410831	0	0.0410831	0	0	0.0410831		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.720203	0	0		0	
Lactococcus_phage	0.0866908	0	0	0		0	0	0	0	0	0	0.866908	0	0		0	0	0	0	0	0.0866908		0	
Clostridium_phage	0	0	0	0		0	0	0	0	0	0	0	2.39163	0		0	0	0	0	0	0		0	
Lactococcus_phage	0.0894758	0	0	0		0	0	0	0.0447379	0	0	0.671068	0	0		0	0	0	0	0	0		0	
Pseudomonas_phage	0	0	0	0.521317		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Bacillus_phage	0.240105	0	0	0		0	0	0	0	0	0	0	0	0		0	0.144063	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	1.02845	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.481582	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.642743	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.490769	0	0		0	
Lactococcus_phage	0.0564572	0	0	0		0	0	0	0.112914	0	0	1.29852	0	0		0	0	0	0	0	0.0564572		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.227246	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	1.16051	0	0		0	
Propionibacterium_phage	0.299404	0	0	0		0	0	0	0	0	14.9103	0	0	0		1.8563	0	0	0	0	0		0	
Synechococcus_phage	0	0	0	0		0	0	0	0	0	0	0	1.52049	0		0	0.0608195	0	0	0.0608195	0.121639		0	
Lactococcus_phage	0.0610245	0	0	0		0	0	0	0	0	0	0.854343	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0.0619998	0	0	0		0	0	0	0	0	0	0.433998	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.619998	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.507587	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	1.53351	0	0	0	0		0	
Haemophilus_phage	0	0	0	0.206509		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	2.5294	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.35591	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Propionibacterium_phage	1.86294	0	0	0		0	0	0	0	0	1.79129	0	0	0		1.14642	0	0	0	0	0		0	
Lactococcus_phage	0.0722231	0	0	0		0	0	0	0	0	0	0.722231	0	0		0	0	0	0	0	0.0722231		0	
Staphylococcus_phage	0	0	0	0		0	0	0	0	0	0	0	0.434494	0		0	0	0	0	0	0		0	
Lactococcus_phage	0.0732953	0	0	0		0	0	0	0	0	0	0	0.219886	0		0	0	0	0	0	0		0	
Lactococcus_phage	0.223199	0	0	0		0	0.0743997	0	0.148799	0	0	0.595198	0	0		0	0	0	0	0	0		0	
Temperate_phage	0	0	0	0		0	0	0	0	0	0	0	0.155621	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.234103	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Pseudomonas_phage	0	0	0	0.0791717		0	0	0	0	0	0	0	0	0.0791717		0	0.158343	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.397016	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.422331	0	0		0	
Escherichia_phage	0	0	0	0		0	0.26028	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.352674	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.279478	0	0		0	
Lactococcus_phage	0.0931592	0	0	0		0	0	0	0	0	0	0.279478	0	0		0	0	0	0	0	0		0	
Synechococcus_phage	0	0	0	0		0	0	0	0	0	0	0	0.560879	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.660039	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	2.91477	0	0	0	0		0	
Lactococcus_phage	0.102282	0	0	0		0	0	0	0	0	0	1.43195	0	0		0	0	0	0	0	0.204564		0	
Lactococcus_phage	0.413804	0	0	0		0	0	0	0	0	0	0.620706	0	0		0	0	0	0	0	0.103451		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.420207	0	0		0	
Pseudomonas_phage	0	0	0	0		0	0.106078	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.431903	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0.223505	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.565748	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Mycobacterium_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_lactis_phage	0.230135	0	0	0		0	0	0	0	0	0	1.15067	0	0		0	0	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0.357314	0	0	0	0		0	
Edwardsiella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	2.38733	0		0	
Lactococcus_phage	0.120693	0	0	0		0	0	0	0	0	0	0.120693	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.241923	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	1.22324	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0.3678	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.250285	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.520977	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.657528	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.264291	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.667221	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.268206	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.279958	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Edwardsiella_phage	0	0	0.140341	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.590346	0	0		0	0	0	0	0	0		0	
Burkholderia_phage	0	0	0	0		0	0.149208	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Pseudomonas_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0.304268	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.461573	0	0		0	
Synechococcus_phage	0	0	0	0		0	0	0	0	0	0	0	1.70208	0		0	0	0	0	0	0		0	
Rhodococcus_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.156068	0	0		0	
Escherichia_phage	0	0	0	0		0	0.156971	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.317613	0	0		0	0	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0.801059	0		0	
Lactococcus_phage	0.322325	0	0	0		0	0	0	0.161163	0	0	0.805813	0	0		0	0	0	0	0	0		0	
Escherichia_phage	0	0	0	0		0	0.164581	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.329162	0	0		0	0	0	0	0	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.167113	0	0		0	0	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0.506011	0	0	0	0		0	
Edwardsiella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0.171873	0	0	0	0.171873	0		0	
Lactococcus_phage	0	0	0	0		0	0	0	0	0	0	0.52056	0	0		0	0	0	0	0	0		0	
Salmonella_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.351533	0	0		0	
Mycobacterium_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0.373277	0	0	0	0		0	
Enterobacteria_phage	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
