MG100005_R1	PercentCont	0.145716
MG100005_R2	PercentCont	0.166921
MG100006_R1	PercentCont	0.0231392
MG100006_R2	PercentCont	0.0396017
MG100007_R1	PercentCont	0.0946993
MG100007_R2	PercentCont	0.109139
MG100008_R1	PercentCont	2.80592
MG100008_R2	PercentCont	2.18579
MG100009_R1	PercentCont	0.224025
MG100009_R2	PercentCont	0.240466
MG100010_R1	PercentCont	0.11371
MG100010_R2	PercentCont	0.124218
MG100012_R1	PercentCont	0.0270554
MG100012_R2	PercentCont	0.0342972
MG100013_R1	PercentCont	1.88436
MG100013_R2	PercentCont	1.78384
