V1	V2	sum
Cluster_	MG100125	1661.61616161616
Cluster_	MG100126	1539.0625
Cluster_	MG100127	1859.22330097087
Cluster_	MG100128	2602.40963855422
Cluster_	MG100129	2705.47945205479
Cluster_	MG100130	1227.27272727273
Cluster_	MG100131	2425.92592592593
Cluster_	MG100132	3881.35593220339
Cluster_	MG100133	2784.94623655914
Cluster_	MG100134	2706.25
Cluster_	MG100136	2951.21951219512
Cluster_	MG100137	1963.63636363636
Cluster_	MG100138	1890.10989010989
Cluster_	MG100139	1886.36363636364
Cluster_	MG100140	1910.89108910891
Cluster_	MG100141	2843.75
Cluster_	MG100143	1875
Cluster_	MG100144	2169.49152542373
Cluster_	MG100145	6373.23943661972
Cluster_	MG100146	2317.75700934579
Cluster_	MG100147	3485.50724637681
Cluster_	MG100148	2884.61538461538
Cluster_	MG100149	2736.84210526316
Cluster_	MG100150	1000
Cluster_	MG100151	3160.49382716049
Cluster_	MG100152	2130.68181818182
Cluster_	MG100153	2597.82608695652
Cluster_	MG100154	3774.39024390244
Cluster_	MG100155	2493.82716049383
Cluster_	MG100156	2158.22784810127
Cluster_	MG100157	4508.06451612903
Cluster_	MG100158	2677.77777777778
Cluster_	MG100159	3342.10526315789
Cluster_	MG100160	1418.18181818182
Cluster_	MG100161	1836.95652173913
Cluster_	MG100162	1674.41860465116
Cluster_	MG100163	739.130434782609
Cluster_	MG100164	1588.88888888889
Cluster_	MG100165	5884.61538461538
Cluster_	MG100166	2628.71287128713
Cluster_	MG100167	2894.06779661017
Cluster_	MG100168	3542.55319148936
Cluster_	MG100169	1583.33333333333
Cluster_	MG100170	1831.63265306122
Cluster_	MG100171	2885.86956521739
Cluster_	MG100172	2300
Cluster_	MG100173	3612.3595505618
Cluster_	MG100174	2659.09090909091
Cluster_	MG100175	3774.1935483871
Cluster_	MG100176	2837.66233766234
Cluster_	MG100177	2179.48717948718
Cluster_	MG100178	4872.26277372263
Cluster_	MG100179	2852.67857142857
Cluster_	MG100180	5264.70588235294
