V1	V2	sum
Cluster_	MG100040	10500
Cluster_	MG100041	390000
Cluster_	MG100042	7571.42857142857
Cluster_	MG100043	7444.44444444444
Cluster_	MG100044	1666.66666666667
Cluster_	MG100045	11789.4736842105
Cluster_	MG100046	9250
Cluster_	MG100047	5800
Cluster_	MG100048	35000
Cluster_	MG100050	2500
Cluster_	MG100051	24846.1538461538
Cluster_	MG100052	36458.3333333333
Cluster_	MG100053	5166.66666666667
Cluster_	MG100054	2909.09090909091
Cluster_	MG100055	17750
Cluster_	MG100056	8666.66666666667
Cluster_	MG100057	1000
Cluster_	MG100058	253666.666666667
Cluster_	MG100059	6571.42857142857
Cluster_	MG100060	4666.66666666667
Cluster_	MG100061	25875
Cluster_	MG100062	6909.09090909091
Cluster_	MG100063	11588.2352941176
Cluster_	MG100064	11125
Cluster_	MG100065	9615.38461538462
Cluster_	MG100066	2470.58823529412
Cluster_	MG100068	13428.5714285714
Cluster_	MG100069	9285.71428571429
Cluster_	MG100070	17000
Cluster_	MG100071	13590.9090909091
Cluster_	MG100072	2000
Cluster_	MG100073	49200
Cluster_	MG100075	1800
Cluster_	MG100076	27656.25
Cluster_	MG100077	3666.66666666667
Cluster_	MG100078	28600
Cluster_	MG100079	9642.85714285714
Cluster_	MG100080	8800
Cluster_	MG100081	10000
Cluster_	MG100082	5083.33333333333
Cluster_	MG100083	7416.66666666667
Cluster_	MG100084	27500
Cluster_	MG100085	2846.15384615385
Cluster_	MG100086	38909.0909090909
Cluster_	MG100087	4333.33333333333
Cluster_	MG100088	2000
Cluster_	MG100089	9185.18518518518
Cluster_	MG100090	3000
Cluster_	MG100091	72214.2857142857
Cluster_	MG100092	6533.33333333333
Cluster_	MG100093	51777.7777777778
Cluster_	MG100094	1888.88888888889
Cluster_	MG100095	23481.4814814815
Cluster_	MG100096	5250
Cluster_	MG100097	20900
Cluster_	MG100098	7750
Cluster_	MG100099	7000
Cluster_	MG100100	6777.77777777778
Cluster_	MG100101	148583.333333333
Cluster_	MG100102	1500
Cluster_	MG100103	1000
Cluster_	MG100105	23272.7272727273
Cluster_	MG100106	70750
Cluster_	MG100107	3000
Cluster_	MG100108	67800
Cluster_	MG100109	6166.66666666667
Cluster_	MG100110	22904.7619047619
Cluster_	MG100111	13909.0909090909
Cluster_	MG100112	1750
Cluster_	MG100113	9750
Cluster_	MG100114	19000
Cluster_	MG100116	4538.46153846154
Cluster_	MG100117	6333.33333333333
Cluster_	MG100118	4933.33333333333
Cluster_	MG100119	196916.666666667
Cluster_	MG100120	4333.33333333333
Cluster_	MG100121	37157.8947368421
Cluster_	MG100122	5538.46153846154
Cluster_	MG100123	15000
Cluster_	MG100124	4666.66666666667
Cluster_	MG100213	33000
Cluster_	MG100215	2555.55555555556
Cluster_	MG100219	4857.14285714286
Cluster_	MG100220	5000
Cluster_0	MG100061	22.063365987115
Cluster_0	MG100062	22.063365987115
Cluster_0	MG100064	22.063365987115
Cluster_0	MG100065	73.394495412844
Cluster_0	MG100068	22.063365987115
Cluster_0	MG100069	54.8516263507213
Cluster_0	MG100070	73.394495412844
Cluster_0	MG100072	73.394495412844
Cluster_0	MG100073	476981.454838464
Cluster_0	MG100079	54.8516263507213
Cluster_0	MG100097	22.063365987115
Cluster_0	MG100121	108.734279471156
Cluster_1	MG100040	3690.81915018135
Cluster_1	MG100041	1619.25301085794
